       0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0      
       0             0            1/2            0            1/2            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0      
       0             0             0            1/3            0            2/3            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0      
      1/4            0             0             0             0             0            3/4            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0      
       0             0             0             0             0            2/3            0             0             0             0             0             0            1/3            0             0             0             0             0             0             0             0             0             0             0      
       0             0             0             0             0             0            3/8            0            1/4            0             0             0             0            3/8            0             0             0             0             0             0             0             0             0             0      
       0             0             0             0             0             0             0            2/3            0            1/3            0             0             0             0             0             0             0             0             0             0             0             0             0             0      
       0             0             0             0            1/4            0             0             0             0             0            5/12           0             0             0             0            1/3            0             0             0             0             0             0             0             0      
       0             0             0             0             0             0             0             0             0            1/2            0             0             0             0             0             0            1/2            0             0             0             0             0             0             0      
      1/6            0             0             0             0             0             0             0             0             0            5/6            0             0             0             0             0             0             0             0             0             0             0             0             0      
       0            1/5            0             0             0             0             0             0             0             0             0            2/5            0             0             0             0             0             0            2/5            0             0             0             0             0      
       0             0            1/4            0             0             0             0             0            1/4            0             0             0             0             0             0             0             0             0             0            1/2            0             0             0             0      
      1/4            0             0             0             0             0             0             0             0             0             0             0             0            3/4            0             0             0             0             0             0             0             0             0             0      
       0             0             0             0             0             0             0             0             0             0             0             0             0             0            2/3            0            1/3            0             0             0             0             0             0             0      
       0             0            1/4            0             0             0             0             0             0             0             0             0             0             0             0            1/3            0            5/12           0             0             0             0             0             0      
       0             0             0            1/4            0             0             0             0             0             0             0             0            1/4            0             0             0             0             0            1/2            0             0             0             0             0      
      1/6            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0            5/6            0             0             0             0             0             0      
       0            1/5            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0            2/5            0            2/5            0             0             0      
       0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0            1/2            0            1/2            0             0      
       0             0             0            1/6            0             0             0             0             0             0             0             0             0             0             0             0            1/4            0             0             0             0             0            7/12           0      
       0             0             0             0            1/4            0             0             0            1/4            0             0             0             0             0             0             0             0             0             0             0             0            1/2            0             0      
       0             0             0             0             0             0             0             0             0            1/4            0             0            1/6            0             0             0             0             0             0             0             0             0            7/12           0      
       0             0             0             0             0             0            3/14           0             0             0             0             0             0            3/14           0             0             0             0             0             0             0             0             0            4/7     
       0             0             0             0             0             0             0            1/4            0             0             0            1/4            0             0            1/4            0             0             0             0             0            1/4            0             0             0      
